,age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
0,33, Private,118710,11, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
1,43, State-gov,199806,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
2,51, Self-emp-inc,100029,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States, >50K
3,22, Private,341227,10, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,20, United-States, <=50K
4,62, Private,149617,10, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,16, United-States, <=50K
5,49, Local-gov,166039,9, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
6,53, Local-gov,287192,2, Married-civ-spouse, Other-service, Husband, White, Male,0,0,32, Mexico, <=50K
7,36, State-gov,212143,13, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,20, United-States, >50K
8,52, Private,208630,9, Divorced, Adm-clerical, Unmarried, White, Female,0,1741,38, United-States, <=50K
9,44, Private,193524,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
10,46, Private,174426,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
11,33, Local-gov,254935,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, United-States, <=50K
12,63, Private,188976,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
13,42, Private,93770,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, >50K
14,48, Self-emp-not-inc,115971,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
15,26, Private,159732,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
16,19, Private,121788,10, Never-married, Sales, Not-in-family, White, Female,0,0,30, United-States, <=50K
17,27, Private,328981,9, Never-married, Machine-op-inspct, Unmarried, Black, Male,0,0,40, United-States, <=50K
18,31, Private,332379,10, Married-spouse-absent, Transport-moving, Unmarried, White, Male,0,0,50, United-States, <=50K
19,60, Self-emp-inc,160062,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,25, United-States, <=50K
20,36, Private,203717,9, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
21,36, Private,126946,10, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
22,72, Private,177769,6, Married-civ-spouse, Sales, Husband, White, Male,0,0,15, United-States, <=50K
23,41, Private,187802,10, Divorced, Tech-support, Not-in-family, White, Male,0,0,50, United-States, <=50K
24,28, Private,56340,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States, <=50K
25,24, Federal-gov,44075,13, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
26,66, Private,174491,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
27,50, Local-gov,173224,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
28,29, Private,385092,10, Divorced, Prof-specialty, Own-child, White, Female,0,0,36, United-States, <=50K
29,38, Private,167725,13, Married-spouse-absent, Transport-moving, Not-in-family, Other, Male,0,0,84, India, <=50K
30,55, Private,381965,13, Married-civ-spouse, Craft-repair, Other-relative, White, Male,0,0,40, United-States, <=50K
31,33, Private,87605,9, Never-married, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
32,45, Local-gov,304973,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,78, United-States, >50K
33,38, Private,497788,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
34,25, Federal-gov,50053,13, Never-married, Tech-support, Not-in-family, White, Male,0,0,45, United-States, <=50K
35,36, Private,106964,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
36,62, Self-emp-not-inc,204085,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,25, United-States, <=50K
37,62, Self-emp-not-inc,39630,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,48, United-States, <=50K
38,55, State-gov,153788,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,37, United-States, <=50K
39,49, Self-emp-not-inc,59612,6, Divorced, Farming-fishing, Unmarried, White, Male,0,0,70, United-States, <=50K
40,44, Private,523484,13, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, >50K
41,19, Private,178147,9, Never-married, Sales, Own-child, White, Male,0,0,35, United-States, <=50K
42,36, Self-emp-not-inc,64875,11, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,60, United-States, <=50K
43,23, Private,113466,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
44,68, Private,194746,16, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Cuba, <=50K
45,48, Self-emp-not-inc,191389,10, Separated, Sales, Unmarried, White, Female,0,0,50, United-States, <=50K
46,29, Private,301031,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
47,59, Local-gov,93211,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,22, United-States, >50K
