,age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
0,50, Self-emp-not-inc,83311,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,13, United-States, <=50K
1,38, Private,215646,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
2,53, Private,234721,7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States, <=50K
3,28, Private,338409,13, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,40, Cuba, <=50K
4,37, Private,284582,14, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
5,49, Private,160187,5, Married-spouse-absent, Other-service, Not-in-family, Black, Female,0,0,16, Jamaica, <=50K
6,52, Self-emp-not-inc,209642,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
7,31, Private,45781,14, Never-married, Prof-specialty, Not-in-family, White, Female,14084,0,50, United-States, >50K
8,42, Private,159449,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,5178,0,40, United-States, >50K
9,37, Private,280464,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,80, United-States, >50K
10,30, State-gov,141297,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, India, >50K
11,23, Private,122272,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
12,32, Private,205019,12, Never-married, Sales, Not-in-family, Black, Male,0,0,50, United-States, <=50K
14,34, Private,245487,4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,45, Mexico, <=50K
15,25, Self-emp-not-inc,176756,9, Never-married, Farming-fishing, Own-child, White, Male,0,0,35, United-States, <=50K
16,32, Private,186824,9, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
17,38, Private,28887,7, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
18,43, Self-emp-not-inc,292175,14, Divorced, Exec-managerial, Unmarried, White, Female,0,0,45, United-States, >50K
19,40, Private,193524,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
20,54, Private,302146,9, Separated, Other-service, Unmarried, Black, Female,0,0,20, United-States, <=50K
21,35, Federal-gov,76845,5, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, United-States, <=50K
22,43, Private,117037,7, Married-civ-spouse, Transport-moving, Husband, White, Male,0,2042,40, United-States, <=50K
23,59, Private,109015,9, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
24,56, Local-gov,216851,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
25,19, Private,168294,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
27,39, Private,367260,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,80, United-States, <=50K
