,variance,skewness,curtosis,entropy,class
1233,0.61652,3.8944,-4.7275,-4.3948,1
1234,-0.16735,7.6274,1.2061,-3.6241,0
1235,4.0127,10.1477,-3.9366,-4.0728,0
1236,-2.1786,-6.4479,6.0344,-0.20777,1
1237,-0.55355,-7.9233,6.7156,0.7439399999999999,1
1238,-0.36279,8.2895,-1.9213,-3.3332,0
1239,0.8329200000000001,7.5404,0.65005,-0.92544,0
1240,0.66365,-0.045533,-0.18794,0.23447,1
1241,-0.69745,-1.7672,-0.34474,-0.12372,1
1242,-2.343,12.9516,3.3285,-5.9426,0
1243,5.7823,5.5788,-2.4089,-0.056479,0
1244,-5.0676,-5.1877,10.4266,-0.86725,1
1245,-1.6001,-9.5828,9.4044,0.08188200000000001,1
1246,-0.2062,9.2207,-3.7044,-6.8103,0
1247,2.2429,-4.1427,5.2333,-0.40173,0
1248,-6.1536,7.9295,0.61663,-3.2646,1
1249,3.5257,1.2829,1.9276,1.7991,0
1250,4.9342,2.4107,-0.17594,1.6245,0
1251,-2.4725,-0.40145,1.4855,1.1189,1
1252,-0.8734,1.6533,-2.1964,-0.78061,1
1253,-6.651,6.7934,0.68604,-7.5887,1
1254,-7.0364,9.2931,0.16594,-4.5396,1
1255,2.1948,1.3781,1.1582,0.85774,0
1256,-3.0,-9.1566,9.5766,-0.73018,1
1257,-1.2792,2.1376,-0.47584,-1.3974,1
1258,2.1464,6.0795,-0.5778,-2.2302,0
1259,-2.62,-6.8555,6.2169,-0.62285,1
1260,4.8451,8.1116,-2.9512,-1.4724,0
1261,-3.5741,3.944,-0.07912000000000001,-2.1203,1
1262,0.60731,3.9544,-4.772,-4.4853,1
1263,-1.8348,11.0334,3.1863,-4.8888,0
1264,1.0987,0.6394,5.989,-0.58277,0
1265,-4.8554,-5.9037,10.9818,-0.82199,1
1266,-1.7063,2.7956,-2.378,-2.3491,1
1267,-0.78289,11.3603,-0.37644,-7.0495,0
1268,-0.87834,3.257,-3.6778,-3.2944,1
1269,5.1213,8.5565,-3.3917,-1.5474,0
1270,-3.9934,5.8333,0.54723,-4.9379,1
1271,-2.588,3.8654,-0.3336,-1.2797,1
1272,-1.7344,2.0175,7.7618,0.93532,0
1273,0.38478,6.5989,-0.3336,-0.56466,0
1274,0.6549699999999999,5.1815,1.0673,-0.42113,0
1275,5.4021,3.1039,-1.1536,1.5651,0
1276,1.7619999999999998,4.3682,2.1384,0.75429,0
1277,-2.6864,-0.097265,0.61663,0.061192,1
1278,-3.38,-0.7077,2.5325,0.71808,1
1279,1.2247,8.7779,-2.2135,-0.80647,0
1280,1.6032,-4.7863,8.5193,-2.1203,0
1281,5.032,8.2026,-2.6256,-1.0341,0
1282,3.5127,2.9073,1.0579,0.40774,0
1283,1.4276,8.3847,-2.0995,-1.9677,0
1284,-1.0833,-0.31247,1.2815,0.4129100000000001,1
1285,3.9433,2.5017,1.5215,0.903,0
1286,5.0691,0.21313,0.20278,1.2095,0
1287,-1.0116,-0.19038,-0.90597,0.003003,1
1288,4.3937,0.35798,2.0416,1.2004,0
1289,-1.749,-6.332000000000002,6.0987,0.14265999999999998,1
1290,0.89566,7.7763,-2.7473,-1.9353,0
1291,-6.5235,9.6014,-0.25392,-6.9642,1
1292,3.8832,6.4023,-2.432,-0.98363,0
1293,1.5077,1.9596,-3.0584,-0.12243,1
1294,0.37984,0.70975,0.75716,-0.44441,0
1295,-0.12196,8.8068,0.94566,-4.2267,0
1296,0.40614,1.3492,-1.4501,-0.5594899999999999,1
1297,0.1848,6.5079,2.0133,-0.8724200000000001,0
1298,3.8023,-3.8696,4.044,0.95343,0
1299,3.9663,10.1684,-4.1131,-4.6056,0
1300,-4.1479,7.1225,-0.08340399999999999,-6.4172,1
1301,-1.5222,10.8409,2.7827,-4.0974,0
1302,-1.9667,11.8052,-0.40472,-7.8719,0
1303,5.2012,0.32694,0.17965,1.1797,0
1304,5.591,10.4643,-4.3839,-4.3379,0
1305,2.4486,-6.3175,7.9632,0.20602,0
1306,0.58836,10.7727,-1.3884,-4.3276,0
1307,1.5799,-4.7076,7.9186,-1.5487,0
1308,1.7452,4.8028,2.0878,0.62627,0
1309,0.32924000000000003,-4.4552,4.5718,-0.9888,0
1310,-1.005,0.08483099999999999,-0.2462,0.45688,1
1311,3.9262,6.0299,-2.0156,-0.06553099999999999,0
1312,4.0715,7.6398,-2.0824,-1.1698,0
1313,3.6244,1.4609,1.3501,1.9284,0
1314,-0.048008,-0.5607800000000001,7.7215,0.453,0
1315,3.6922,-3.9585,4.3439,1.3517,0
1316,-1.1391,1.8127,6.9144,0.70127,0
1317,0.64376,3.764,-4.4738,-4.0483,1
1318,4.9249,0.68906,0.77344,1.2095,0
1319,-1.9881,0.99945,-0.28562,-0.70044,1
1320,-2.41,3.7433,-0.40215,-1.2953,1
1321,-2.8957,-12.0205,11.9149,-2.7552,1
1322,-2.6479,10.1374,-1.331,-5.4707,0
1323,0.26637,0.73252,-0.67891,0.03533,1
1324,-2.2482,3.0915,-2.3969,-2.6711,1
1325,6.8248,5.2187,-2.5425,0.5461,0
1326,0.4736800000000001,3.3605,-4.5064,-4.0431,1
1327,-1.8356,-6.7562,5.0585,-0.5504399999999999,1
1328,3.4092,5.4049,-2.5228,-0.8995799999999999,0
1329,-2.9146,4.0537,-0.45699,-4.0327,1
1330,-2.1802,3.3791,-1.2256,-2.6621,1
1331,-0.36038,4.1158,3.1143,-0.37199,0
1332,-1.8046,-6.8141,6.7019,1.1681,1
1333,-1.8584,7.886,-1.6643,-1.8384,0
1334,4.2478,7.6956,-2.7696,-1.0767,0
1335,-0.27802,8.1881,-3.1338,-2.5276,0
1336,1.5099,0.039307,6.2332,-0.30346,0
1337,0.7049,0.17174,-1.7859,0.36119,1
1338,5.1776,8.2316,-3.2511,-1.5694,0
1339,3.4985,3.1639,0.22677,-0.1651,0
1340,4.8906,-3.3584,3.4202,1.0905,0
1341,3.7022,6.9942,-1.8511,-0.12889,0
1342,-2.8619,4.5193,-0.58123,-4.2629,1
1343,-0.071503,3.7412,-4.5415,-4.2526,1
1344,2.888,0.44696,4.5907,-0.24398000000000006,0
1345,3.1060000000000003,9.5414,-4.2536,-4.003,0
1346,4.2458,1.1981,0.66633,0.94696,0
1347,-0.93587,-5.1008,4.5367,1.3866,1
1348,0.049175,6.1437,1.7828,-0.72113,0
1349,4.0446,11.1741,-4.3582,-4.7401,0
1350,4.0215,-2.1914,2.4648,1.1409,0
1351,3.9719,1.0367,0.75973,1.0013,0
1352,4.0932,5.4132,-1.8219,0.23576,0
1353,3.9414,-3.2902,3.1674,1.0866,0
1354,-3.793,-12.7095,12.7957,-2.825,1
1355,-2.5754,-5.6574,6.103,0.6521399999999999,1
1356,3.4591,11.112,-4.2039,-5.0931,0
1357,-0.28015,3.0729,-3.3857,-2.9155,1
1358,3.6181,-3.7454,2.8273,-0.71208,0
1359,-2.5084,-0.22763000000000005,1.4880000000000002,1.2069,1
1360,5.3586,3.7557,-1.7345,1.0789,0
1361,-3.8858,-12.8461,12.7957,-3.1353,1
1362,3.8496,9.7939,-4.1508,-4.4582,0
1363,2.486,-0.99533,5.3404,-0.15475,0
1364,0.025013,3.3998,-4.4327,-4.2655,1
1365,3.5251,0.7201,1.6928,0.6443800000000001,0
1366,-2.0631,-1.5147,1.219,0.44524,1
1367,0.32444,10.067,-1.1982,-4.1284,0
1368,2.1265,6.8783,0.44784,-2.2224,0
1369,-2.5919,-1.0553,3.8949,0.77757,1
1370,-0.0012852,0.13863,-0.19651,0.0081754,1
